,Code,Ex,Date,Open,High,Low,Close,Adjusted_close,Volume,Prev_close,Change,Change_%
2980,BIG,US,2012-01-03,38.25,38.925,38.05,38.2,35.2884,969600.0,,,
2983,BIG,US,2012-01-04,38.2,38.765,37.98,38.6,35.6579,1216600.0,,,
2983,BIG,US,2012-01-05,38.44,38.73,37.65,38.7,35.7502,236894.0,,,
2975,BIG,US,2012-01-06,38.59,38.62,38.06,38.16,35.2514,210920.0,,,
2982,BIG,US,2012-01-09,38.08,38.45,37.65,38.18,35.2699,827600.0,,,
2983,BIG,US,2012-01-10,38.55,38.75,37.99,38.56,35.6209,954400.0,,,
2982,BIG,US,2012-01-11,38.31,38.4,37.5801,37.91,35.0205,819900.0,,,
2980,BIG,US,2012-01-12,37.99,38.03,37.35,37.77,34.8911,542700.0,,,
2973,BIG,US,2012-01-13,37.55,38.0,37.36,37.58,34.7156,384800.0,,,
2981,BIG,US,2012-01-17,37.71,37.91,37.12,37.56,34.6971,1177100.0,,,
2981,BIG,US,2012-01-18,37.57,39.14,37.48,39.09,36.1105,1013200.0,,,
2983,BIG,US,2012-01-19,39.14,39.7,39.03,39.63,36.6094,972000.0,,,
2974,BIG,US,2012-01-20,39.6,40.27,39.44,40.21,37.1452,1496000.0,,,
2970,BIG,US,2012-01-23,40.27,41.49,40.26,40.97,37.8472,2103700.0,,,
2972,BIG,US,2012-01-24,40.78,41.3,40.78,41.16,38.0227,1864100.0,,,
2973,BIG,US,2012-01-25,40.94,41.49,40.24,41.34,38.189,1338000.0,,,
2974,BIG,US,2012-01-26,41.54,41.54,40.17,40.3,37.2283,1141500.0,,,
2979,BIG,US,2012-01-27,40.19,40.22,39.63,40.0,36.9512,1064400.0,,,
2986,BIG,US,2012-01-30,39.77,39.92,39.433,39.77,36.7387,1175400.0,,,
2989,BIG,US,2012-01-31,39.85,39.96,39.37,39.49,36.48,1602100.0,,,
2990,BIG,US,2012-02-01,39.62,39.99,39.48,39.55,36.5355,1316500.0,,,
2989,BIG,US,2012-02-02,42.81,43.1,41.27,42.82,39.5562,3471800.0,,,
2987,BIG,US,2012-02-03,43.1,43.7,43.1,43.59,40.2675,1595800.0,,,
2994,BIG,US,2012-02-06,43.36,43.58,43.24,43.48,40.1659,522000.0,,,
2996,BIG,US,2012-02-07,43.52,43.92,43.42,43.91,40.5631,592400.0,,,
2996,BIG,US,2012-02-08,43.8,44.05,43.66,43.98,40.6278,961600.0,,,
2997,BIG,US,2012-02-09,43.93,43.93,43.36,43.84,40.4985,764100.0,,,
2989,BIG,US,2012-02-10,43.53,44.0,43.34,44.0,40.6463,583400.0,,,
2995,BIG,US,2012-02-13,44.03,44.36,43.71,43.78,40.443000000000005,928900.0,,,
2996,BIG,US,2012-02-14,43.8,44.08,43.65,44.02,40.6648,732500.0,,,
2996,BIG,US,2012-02-15,44.21,44.21,43.21,43.32,40.0181,657400.0,,,
2997,BIG,US,2012-02-16,43.16,44.0047,42.6,43.86,40.5169,986500.0,,,
2989,BIG,US,2012-02-17,44.07,44.24,43.94,44.12,40.7571,568900.0,,,
2998,BIG,US,2012-02-21,44.13,44.38,43.585,43.69,40.3599,489700.0,,,
2998,BIG,US,2012-02-22,43.77,43.97,43.25,43.32,40.0181,766600.0,,,
3001,BIG,US,2012-02-23,43.39,43.85,43.07,43.7,40.3691,929100.0,,,
2996,BIG,US,2012-02-24,43.7,44.14,43.45,43.6,40.2768,738500.0,,,
3005,BIG,US,2012-02-27,43.4,44.165,43.25,43.84,40.4985,1408500.0,,,
3009,BIG,US,2012-02-28,43.93,44.39,43.49,44.27,40.8957,1282300.0,,,
3009,BIG,US,2012-02-29,44.32,44.82,43.83,43.85,40.5077,2108600.0,,,
3009,BIG,US,2012-03-01,44.05,44.76,43.9,44.49,41.0989,1195800.0,,,
3004,BIG,US,2012-03-02,43.88,44.53,42.16,42.71,39.4546,3287600.0,,,
3007,BIG,US,2012-03-05,43.32,44.44,42.79,44.15,40.7848,2407400.0,,,
3010,BIG,US,2012-03-06,43.3,44.45,43.27,44.39,41.0065,2065200.0,,,
3010,BIG,US,2012-03-07,44.47,45.0,44.3,44.9,41.4777,1267700.0,,,
3010,BIG,US,2012-03-08,44.98,45.09,44.64,45.0,41.5701,1251500.0,,,
3001,BIG,US,2012-03-09,45.17,45.65,45.01,45.43,41.9673,783600.0,,,
3010,BIG,US,2012-03-12,45.4,45.51,45.13,45.31,41.8564,697100.0,,,
3013,BIG,US,2012-03-13,45.47,45.9,45.19,45.84,42.346000000000004,705900.0,,,
3016,BIG,US,2012-03-14,45.82,45.88,45.31,45.61,42.1336,673900.0,,,
3018,BIG,US,2012-03-15,45.61,45.78,45.36,45.56,42.0874,854600.0,,,
3010,BIG,US,2012-03-16,45.67,45.74,45.105,45.42,41.958,1126200.0,,,
3015,BIG,US,2012-03-19,45.26,45.83,45.121,45.52,42.0504,723700.0,,,
3016,BIG,US,2012-03-20,45.22,45.57,44.89,45.52,42.0504,875900.0,,,
3016,BIG,US,2012-03-21,45.61,45.81,45.4,45.53,42.0597,812600.0,,,
3018,BIG,US,2012-03-22,45.27,45.544,44.98,45.36,41.9026,527300.0,,,
3010,BIG,US,2012-03-23,45.4,45.75,44.58,45.66,42.1797,603800.0,,,
3018,BIG,US,2012-03-26,46.0499,46.66,45.95,46.4,42.8633,853200.0,,,
3016,BIG,US,2012-03-27,46.33,47.2195,46.09,46.81,43.2421,1717400.0,,,
3021,BIG,US,2012-03-28,46.73,47.11,45.59,45.59,42.1151,1434600.0,,,
3020,BIG,US,2012-03-29,44.1,44.1,41.99,43.42,40.1105,4578200.0,,,
3012,BIG,US,2012-03-30,43.74,43.74,42.85,43.02,39.741,1333100.0,,,
3014,BIG,US,2012-04-02,42.64,43.88,42.63,43.84,40.4985,1458900.0,,,
3013,BIG,US,2012-04-03,43.75,44.29,43.52,43.86,40.5169,1098300.0,,,
3018,BIG,US,2012-04-04,43.53,44.23,43.49,43.93,40.5816,1257200.0,,,
3023,BIG,US,2012-04-05,43.92,44.39,43.68,43.75,40.4153,974700.0,,,
3018,BIG,US,2012-04-09,43.2,43.23,42.56,43.02,39.741,1683600.0,,,
3021,BIG,US,2012-04-10,43.04,43.32,42.62,42.8,39.5377,1987800.0,,,
3023,BIG,US,2012-04-11,43.12,44.42,43.12,44.36,40.9788,1368200.0,,,
3024,BIG,US,2012-04-12,44.38,45.36,44.3,45.35,41.8934,1517900.0,,,
3016,BIG,US,2012-04-13,45.34,45.63,45.17,45.51,42.0412,1042900.0,,,
3023,BIG,US,2012-04-16,45.55,45.56,44.65,45.0,41.5701,1755200.0,,,
3026,BIG,US,2012-04-17,45.25,45.57,44.93,45.32,41.8657,1670000.0,,,
3027,BIG,US,2012-04-18,45.21,45.25,44.52,45.04,41.607,1068400.0,,,
3028,BIG,US,2012-04-19,45.07,45.54,44.77,45.31,41.8564,875600.0,,,
3019,BIG,US,2012-04-20,45.57,45.98,45.45,45.87,42.3737,1035400.0,,,
3025,BIG,US,2012-04-23,45.43,45.73,45.16,45.71,42.2259,1197300.0,,,
3025,BIG,US,2012-04-24,37.12,37.25,34.545,34.71,32.0644,13209300.0,,,
3026,BIG,US,2012-04-25,34.93,35.52,34.46,35.31,32.6186,4820100.0,,,
3026,BIG,US,2012-04-26,35.33,36.48,35.2,36.29,33.5239,2730300.0,,,
3022,BIG,US,2012-04-27,36.38,37.625,36.35,37.34,34.4939,2334800.0,,,
3028,BIG,US,2012-04-30,37.27,37.44,36.17,36.64,33.8473,1671700.0,,,
3037,BIG,US,2012-05-01,36.67,37.14,36.37,36.45,33.6717,1155900.0,,,
3042,BIG,US,2012-05-02,36.39,37.31,36.26,37.15,34.3184,1331300.0,,,
3040,BIG,US,2012-05-03,37.07,37.83,36.93,37.29,34.4477,1724900.0,,,
3034,BIG,US,2012-05-04,37.05,37.16,36.34,36.53,33.7456,1086100.0,,,
3042,BIG,US,2012-05-07,36.36,37.46,36.35,37.2,34.3646,1335300.0,,,
3041,BIG,US,2012-05-08,36.86,36.86,34.53,36.07,33.3207,2161000.0,,,
3042,BIG,US,2012-05-09,35.85,36.62,35.71,36.21,33.45,1629300.0,,,
3043,BIG,US,2012-05-10,36.78,38.15,36.63,36.73,33.9304,1874600.0,,,
