,Code,Ex,Date,Open,High,Low,Close,Adjusted_close,Volume,Prev_close,Change,Change_%
2980,BIG,US,1/3/2012,38.25,38.925,38.05,38.2,35.2884,969600,,,
2983,BIG,US,1/4/2012,38.2,38.765,37.98,38.6,35.6579,1216600,,,
2983,BIG,US,1/5/2012,38.44,38.73,37.65,38.7,35.7502,236894,,,
2975,BIG,US,1/6/2012,38.59,38.62,38.06,38.16,35.2514,210920,,,
2982,BIG,US,1/9/2012,38.08,38.45,37.65,38.18,35.2699,827600,,,
2983,BIG,US,1/10/2012,38.55,38.75,37.99,38.56,35.6209,954400,,,
2982,BIG,US,1/11/2012,38.31,38.4,37.5801,37.91,35.0205,819900,,,
2980,BIG,US,1/12/2012,37.99,38.03,37.35,37.77,34.8911,542700,,,
2973,BIG,US,1/13/2012,37.55,38,37.36,37.58,34.7156,384800,,,
2981,BIG,US,1/17/2012,37.71,37.91,37.12,37.56,34.6971,1177100,,,
2981,BIG,US,1/18/2012,37.57,39.14,37.48,39.09,36.1105,1013200,,,
2983,BIG,US,1/19/2012,39.14,39.7,39.03,39.63,36.6094,972000,,,
2974,BIG,US,1/20/2012,39.6,40.27,39.44,40.21,37.1452,1496000,,,
2970,BIG,US,1/23/2012,40.27,41.49,40.26,40.97,37.8472,2103700,,,
2972,BIG,US,1/24/2012,40.78,41.3,40.78,41.16,38.0227,1864100,,,
2973,BIG,US,1/25/2012,40.94,41.49,40.24,41.34,38.189,1338000,,,
2974,BIG,US,1/26/2012,41.54,41.54,40.17,40.3,37.2283,1141500,,,
2979,BIG,US,1/27/2012,40.19,40.22,39.63,40,36.9512,1064400,,,
2986,BIG,US,1/30/2012,39.77,39.92,39.433,39.77,36.7387,1175400,,,
2989,BIG,US,1/31/2012,39.85,39.96,39.37,39.49,36.48,1602100,,,
2990,BIG,US,2/1/2012,39.62,39.99,39.48,39.55,36.5355,1316500,,,
2989,BIG,US,2/2/2012,42.81,43.1,41.27,42.82,39.5562,3471800,,,
2987,BIG,US,2/3/2012,43.1,43.7,43.1,43.59,40.2675,1595800,,,
2994,BIG,US,2/6/2012,43.36,43.58,43.24,43.48,40.1659,522000,,,
2996,BIG,US,2/7/2012,43.52,43.92,43.42,43.91,40.5631,592400,,,
2996,BIG,US,2/8/2012,43.8,44.05,43.66,43.98,40.6278,961600,,,
2997,BIG,US,2/9/2012,43.93,43.93,43.36,43.84,40.4985,764100,,,
2989,BIG,US,2/10/2012,43.53,44,43.34,44,40.6463,583400,,,
2995,BIG,US,2/13/2012,44.03,44.36,43.71,43.78,40.443,928900,,,
2996,BIG,US,2/14/2012,43.8,44.08,43.65,44.02,40.6648,732500,,,
2996,BIG,US,2/15/2012,44.21,44.21,43.21,43.32,40.0181,657400,,,
2997,BIG,US,2/16/2012,43.16,44.0047,42.6,43.86,40.5169,986500,,,
2989,BIG,US,2/17/2012,44.07,44.24,43.94,44.12,40.7571,568900,,,
2998,BIG,US,2/21/2012,44.13,44.38,43.585,43.69,40.3599,489700,,,
2998,BIG,US,2/22/2012,43.77,43.97,43.25,43.32,40.0181,766600,,,
3001,BIG,US,2/23/2012,43.39,43.85,43.07,43.7,40.3691,929100,,,
2996,BIG,US,2/24/2012,43.7,44.14,43.45,43.6,40.2768,738500,,,
3005,BIG,US,2/27/2012,43.4,44.165,43.25,43.84,40.4985,1408500,,,
3009,BIG,US,2/28/2012,43.93,44.39,43.49,44.27,40.8957,1282300,,,
3009,BIG,US,2/29/2012,44.32,44.82,43.83,43.85,40.5077,2108600,,,
3009,BIG,US,3/1/2012,44.05,44.76,43.9,44.49,41.0989,1195800,,,
3004,BIG,US,3/2/2012,43.88,44.53,42.16,42.71,39.4546,3287600,,,
3007,BIG,US,3/5/2012,43.32,44.44,42.79,44.15,40.7848,2407400,,,
3010,BIG,US,3/6/2012,43.3,44.45,43.27,44.39,41.0065,2065200,,,
3010,BIG,US,3/7/2012,44.47,45,44.3,44.9,41.4777,1267700,,,
3010,BIG,US,3/8/2012,44.98,45.09,44.64,45,41.5701,1251500,,,
3001,BIG,US,3/9/2012,45.17,45.65,45.01,45.43,41.9673,783600,,,
3010,BIG,US,3/12/2012,45.4,45.51,45.13,45.31,41.8564,697100,,,
3013,BIG,US,3/13/2012,45.47,45.9,45.19,45.84,42.346,705900,,,
3016,BIG,US,3/14/2012,45.82,45.88,45.31,45.61,42.1336,673900,,,
3018,BIG,US,3/15/2012,45.61,45.78,45.36,45.56,42.0874,854600,,,
3010,BIG,US,3/16/2012,45.67,45.74,45.105,45.42,41.958,1126200,,,
3015,BIG,US,3/19/2012,45.26,45.83,45.121,45.52,42.0504,723700,,,
3016,BIG,US,3/20/2012,45.22,45.57,44.89,45.52,42.0504,875900,,,
3016,BIG,US,3/21/2012,45.61,45.81,45.4,45.53,42.0597,812600,,,
3018,BIG,US,3/22/2012,45.27,45.544,44.98,45.36,41.9026,527300,,,
3010,BIG,US,3/23/2012,45.4,45.75,44.58,45.66,42.1797,603800,,,
3018,BIG,US,3/26/2012,46.0499,46.66,45.95,46.4,42.8633,853200,,,
3016,BIG,US,3/27/2012,46.33,47.2195,46.09,46.81,43.2421,1717400,,,
3021,BIG,US,3/28/2012,46.73,47.11,45.59,45.59,42.1151,1434600,,,
3020,BIG,US,3/29/2012,44.1,44.1,41.99,43.42,40.1105,4578200,,,
3012,BIG,US,3/30/2012,43.74,43.74,42.85,43.02,39.741,1333100,,,
3014,BIG,US,4/2/2012,42.64,43.88,42.63,43.84,40.4985,1458900,,,
3013,BIG,US,4/3/2012,43.75,44.29,43.52,43.86,40.5169,1098300,,,
